 "Ndis", "ApproxLux"
  2284,    78.5799
  2291,    78.1124
  2293,    77.9796
  2289,    78.2456
  2295,    77.8472
  2299,    77.5833
  2299,    77.5833
  2304,    77.2553
  2305,    77.1899
  2304,    77.2553
  2305,    77.1899
  2310,    76.8645
  2310,    76.8645
  2310,    76.8645
  2313,    76.6702
  2310,    76.8645
  2308,    76.9944
  2309,    76.9294
  2309,    76.9294
  2304,    77.2553
  2305,    77.1899
  2310,    76.8645
  2311,    76.7996
  2314,    76.6056
  2318,    76.3480
  2318,    76.3480
  2319,    76.2838
  2324,    75.9641
  2327,    75.7733
  2328,    75.7098
  2331,    75.5199
  2334,    75.3308
  2334,    75.3308
  2337,    75.1423
  2347,    74.5193
  2342,    74.8298
  2340,    74.9546
  2348,    74.4574
  2346,    74.5812
  2344,    74.7053
  2350,    74.3339
  2351,    74.2722
  2350,    74.3339
  2354,    74.0878
  2356,    73.9652
  2352,    74.2107
  2358,    73.8429
  2363,    73.5385
  2361,    73.6600
  2364,    73.4779
  2370,    73.1156
  2368,    73.2360
  2371,    73.0554
  2371,    73.0554
  2375,    72.8157
  2373,    72.9354
  2378,    72.6367
  2383,    72.3398
  2381,    72.4583
  2384,    72.2806
  2385,    72.2215
  2383,    72.3398
  2385,    72.2215
  2387,    72.1036
  2388,    72.0447
  2389,    71.9859
  2392,    71.8100
  2396,    71.5764
  2392,    71.8100
  2394,    71.6930
  2397,    71.5182
  2392,    71.8100
  2612,    60.4883
  1003,   391.0499
   971,   416.5734
   939,   444.7041
   912,   470.7378
   888,   495.8653
   868,   518.3887
   850,   540.0104
   833,   561.7089
   806,   598.9847
   791,   621.3337
   778,   641.7396
   766,   661.4895
   758,   675.1715
   755,   680.4128
   757,   676.9118
   756,   678.6589
   745,   698.3358
   738,   711.3103
   734,   718.8888
   733,   720.8025
   733,   720.8025
   735,   716.9828
   735,   716.9828
   737,   713.1936
   738,   711.3103
   742,   703.8521
   743,   702.0060
   744,   700.1673
   744,   700.1673
   749,   691.0818
   760,   671.7111
   743,   702.0060
   737,   713.1936
   742,   703.8521
   752,   685.7159
   757,   676.9118
   751,   687.4975
   743,   702.0060
   743,   702.0060
   745,   698.3358
   749,   691.0818
   757,   676.9118
   766,   661.4895
   760,   671.7111
   755,   680.4128
   753,   683.9413
   754,   682.1736
   760,   671.7111
   770,   654.8052
   770,   654.8052
   761,   669.9910
   760,   671.7111
   762,   668.2775
   763,   666.5706
   763,   666.5706
   764,   664.8704
   765,   663.1767
   766,   661.4895
   764,   664.8704
   765,   663.1767
   763,   666.5706
   760,   671.7111
   756,   678.6589
   749,   691.0818
   745,   698.3358
   744,   700.1673
   744,   700.1673
   747,   694.6945
   746,   696.5115
   747,   694.6945
   749,   691.0818
   747,   694.6945
   747,   694.6945
   747,   694.6945
   749,   691.0818
   749,   691.0818
   748,   692.8846
   
